Permalink BSG	Kurztitel
http://permalink.snl.ch/bib/chbsg000143939	EA, Bd. 4/1b
http://permalink.snl.ch/bib/chbsg000143938	EA, Bd. 4/1c
http://permalink.snl.ch/bib/chbsg000143937	EA, Bd. 4/1d
http://permalink.snl.ch/bib/chbsg000143935	EA, Bd. 4/1e
http://permalink.snl.ch/bib/chbsg000143934	EA, Bd. 4/2a
http://permalink.snl.ch/bib/chbsg000143933	EA, Bd. 5/1
http://permalink.snl.ch/bib/chbsg000143932	EA, Bd. 5/2
http://permalink.snl.ch/bib/chbsg991001180045703977	EA, Bd. 6/1
http://permalink.snl.ch/bib/chbsg000143931	EA, Bd. 6/2
http://permalink.snl.ch/bib/chbsg000143825	EA, Bd. 7/1
http://permalink.snl.ch/bib/chbsg000143824	EA, Bd. 7/2
http://permalink.snl.ch/bib/chbsg000143823	EA, Bd. 8
http://permalink.snl.ch/bib/chbsg000150456	EA, Nachträge ZH
http://permalink.snl.ch/bib/chbsg000135580	Ebel 1958
http://permalink.snl.ch/bib/chbsg000126746	Ebnöther 2013
http://permalink.snl.ch/bib/chbsg991001173548003977	Edlibach, Aufzeichnungen
http://permalink.snl.ch/bib/chbsg000137588	Edlibach, Chronik
http://permalink.snl.ch/bib/chbsg000070035	Eggenberger/Stricker/Vincenz, Buchser Urbar
http://permalink.snl.ch/bib/chbsg000138605	Egli 1873
http://permalink.snl.ch/bib/chbsg000136547	Egli 1896
http://permalink.snl.ch/bib/chbsg991001175149703977	Egli 1896a
http://permalink.snl.ch/bib/chbsg000136958	Egli 1898
http://permalink.snl.ch/bib/chbsg000136963	Egli 1906
http://permalink.snl.ch/bib/chbsg000135610	Egli, Actensammlung
http://permalink.snl.ch/bib/chbsg000151041	Egli, Analecta Reformatoria
http://permalink.snl.ch/bib/chbsg000138411	Eichholzer 1917
http://permalink.snl.ch/bib/chbsg000137906	Eichholzer 1924
http://permalink.snl.ch/bib/chbsg000110925	Elsener 1973
http://permalink.snl.ch/bib/chbsg000104485	Elsener 1975
http://permalink.snl.ch/bib/chbsg000150643	Ennen 1977-1987
http://permalink.snl.ch/bib/chbsg991001180648203977	Enzyklopädie der Neuzeit
http://permalink.snl.ch/bib/chbsg000137598	Erb 1954
http://permalink.snl.ch/bib/chbsg000104852	Erne 1988
http://permalink.snl.ch/bib/chbsg000151042	Ernst 1879
http://permalink.snl.ch/bib/chbsg000067779	Escher 1692
http://permalink.snl.ch/bib/chbsg000137320	Escher 1842
http://permalink.snl.ch/bib/chbsg000136588	Escher 1906
http://permalink.snl.ch/bib/chbsg000136488	Escher 1907
http://permalink.snl.ch/bib/chbsg000135004	Escher 1911
http://permalink.snl.ch/bib/chbsg000135003	Escher 1915
http://permalink.snl.ch/bib/chbsg000135546	Escher 1918
